Epoch,Train Loss,Train Accuracy,Train Precision,Train Recall,Train F1,Validation Loss,Validation Accuracy,Validation Precision,Validation Recall,Validation F1
1,1.3250518702480891,43.51931330472103,0.38961323255158853,0.4351931330472103,0.39771923221899785,1.255907792794077,43.15068493150685,0.2664259299759429,0.4315068493150685,0.29584779913876985
2,1.186097220198749,41.63090128755365,0.3863379038386235,0.41630901287553645,0.3806810788563332,1.169679177434821,48.28767123287671,0.4376818649834363,0.4828767123287671,0.45082789631873843
3,1.1275295909136942,43.69098712446352,0.4159208798296654,0.4369098712446352,0.39753430131243145,1.2028449899271916,44.52054794520548,0.288412437113125,0.4452054794520548,0.31571710253217106
4,1.1398628231597274,45.75107296137339,0.4170869008032607,0.4575107296137339,0.41605709976834904,2.663827369087621,16.43835616438356,0.4627132547721038,0.1643835616438356,0.1496872461369076
5,1.1165656790341416,42.14592274678112,0.38862364848025105,0.42145922746781117,0.3795871675874651,1.111285532775678,46.57534246575342,0.5323345251007646,0.4657534246575342,0.41178559265848447
6,1.0862152462136256,45.66523605150215,0.418501724896905,0.45665236051502145,0.41992271386415664,1.6879465611357438,42.465753424657535,0.38226788432267883,0.4246575342465753,0.3802281932961369
7,1.0469192258299214,48.06866952789699,0.42864997715749326,0.48068669527896996,0.44597879089359743,1.178196276489057,46.917808219178085,0.42624570963645736,0.4691780821917808,0.36473560685889456
8,1.024160278986578,50.042918454935624,0.4838828095684729,0.5004291845493563,0.4751222111535939,1.3981376823626066,41.78082191780822,0.36926010450108726,0.4178082191780822,0.34105860160973317
9,0.9783979637982094,51.24463519313305,0.4625619401048602,0.5124463519313305,0.47396575676392605,1.2459731886261387,41.78082191780822,0.33893864887015573,0.4178082191780822,0.33060303454873174
10,0.9309401577466154,57.33905579399141,0.5558980347011312,0.5733905579399141,0.556694076384002,0.949988493793889,61.986301369863014,0.5585330182787193,0.6198630136986302,0.583682458289495
11,0.8702285918470931,60.25751072961374,0.5917312509244956,0.6025751072961374,0.5764883584183506,0.8726905678447924,63.35616438356164,0.5905519742143432,0.6335616438356164,0.59266193430577
12,0.8847826392683265,60.17167381974249,0.588268353848574,0.6017167381974249,0.5860745359099829,0.86796593352368,63.35616438356164,0.6078128005750791,0.6335616438356164,0.6082996211017196
13,0.8051134609196284,63.60515021459228,0.628438776571057,0.6360515021459228,0.630009771691281,0.8031281138721266,66.78082191780823,0.6059853268577133,0.6678082191780822,0.6242899833184067
14,0.7599236377298015,66.43776824034335,0.653670540095895,0.6643776824034334,0.6479323327879275,0.9245381229802182,56.849315068493155,0.5799827156150825,0.5684931506849316,0.5403449207883373
15,0.7695697929761182,64.29184549356222,0.6294282904562735,0.6429184549356223,0.6329023405434603,0.645797378138492,69.17808219178082,0.6650085151280334,0.6917808219178082,0.6653342516222516
16,0.704369214707858,69.78540772532189,0.6903101233968642,0.6978540772532189,0.6895464881425301,0.8695966868024123,61.986301369863014,0.6491393988131552,0.6198630136986302,0.6124498291008097
17,0.6551392523393239,72.27467811158799,0.7166499181359031,0.7227467811158799,0.7170942065551434,0.817341580202705,68.83561643835617,0.61690528139524,0.6883561643835616,0.6370396803602634
18,0.6408134976478472,70.90128755364807,0.7028167440445622,0.7090128755364807,0.7038671267530686,0.7280100882053375,65.75342465753424,0.6406209976025754,0.6575342465753424,0.6370444602209682
19,0.6062850358143245,74.5922746781116,0.733748318400238,0.7459227467811159,0.7344650735266229,0.7646679219446684,69.86301369863014,0.6847421176318499,0.6986301369863014,0.6858606103352998
20,0.6177575237130466,75.45064377682404,0.7470171190315904,0.7545064377682403,0.7484505241519435,1.0483327915793972,55.821917808219176,0.624232439330129,0.5582191780821918,0.56742382127349
